,スキルシート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,更新日：　2024年　10月　23日,,,,,,,,,,
,フリガナ,,,,エイチエム,,,,,,,,,,,,,性　別,,男,,年　齢,,32歳,,最終学歴,,大阪大学　卒業,,,,,,,,,,,,
,氏　　名,,,,HM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GitHub ID,,,,,,,,,,,,,,,,,ポートフォリオ,,,,,,,,最寄り駅,,総武線　東船橋駅,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,得意分野,,,,"・Web系システム開発
・Saasの開発",,,,,,,,,,,,,,,,,得意言語,,"Python, JavaScript, TypeScript",,,,,,,,,,,,,,,,
,得意業務,,,,"・サーバーサイドはPython,Django,DjangoRestFrameworkでの開発。
・フロントエンドはVue.jsでの開発。
・オフショア開発のプロジェクトマネジメント。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"自己PR
・
備考",,,,"- 大学時代に国内ITベンチャー企業でSEO対策のCMS販売営業を経験。同社の大阪支社にて、平均受注金額、受注率において1位を獲得。
- 未経験のPythonを2週間で学習し、3週間目から新機能追加を実装。
- 大阪大学合格時に自分なりの効率的な学習法を形作った経験のおかげで、
　新規参画プロジェクトにおいてもスピーディーにキャッチアップをし、成果を上げることができる。
- これまでエンジニア・PMとして5年以上、様々な現場で上流から下流（要求分析〜結合テスト）まで経験があるため、どの工程でも対応可能。
- 開発作業以外に、案件の進捗管理、メンバーのタスク管理などのマネージメント業務も複数現場で経験。
- 参画先部署内に開発チームがない中で、オフショアラボの開発チームを立ち上げる。
- 自社サービスの構想から新規開発（技術選定、クラウドインフラ構築、フロントエンド・バックエンド開発）～運用・保守の一連の経験。
- 生成AIを用いた新規開発の経験も複数あり。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,実務開発経験,,,,開発言語,言語,,,期間,,言語,,,期間,,フレームワーク,言語,,,期間,,データベース,言語,,,期間,,サーバー・OS,言語,,,期間,,その他,言語,,,期間,,
,,,,,,Python,,,4年,,,,,,,,Django,,,4年,,,MySQL,,,4年,,,GCP,,,1.5年,,,,,,,,
,,,,,,TypeScript,,,3年,,,,,,,,Vue.js(Nuxt.js),,,4.5年,,,PostgreSQL,,,1年,,,AWS,,,4年,,,,,,,,
,,,,,,JavaScript,,,5年,,,,,,,,React(Next.js),,,2年,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,NestJS,,,0.5年,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,会社名　/　プロダクト名,,,,,,,,,,,,,,,,"雇用
形態",,"規模
・
人数",,"使用言語
・
FW",,DB,,"サーバ
OS",,ツール,,担当領域,,,,,,
,項番,期間,,,,業種,,業務内容,,,,,,,,,,,,,,,,,,,,,,,,,, 要件定義,　基本設計,　詳細設計,　実装・開発,"　テスト・
　コードレビュー", 保守・運用,
,1,0年4ヶ月,,,,情報,,生成AI開発受託企業,,,,,,,,,,,,,,業務委託,,"＜全体＞
15名

＜チーム＞
2~3名",,"Python,
Flask,
React.js
",,"MySQL,
DynamoDB",,"AWS Amplify,
API Gateway,
AWS Lambda,
Amazon Bedrock,
AzureAppService,
BlobStorage",,"Github, 
Teams, ",,●,●,●,●,●,,
,,2024年12月,,,,,,"＜サービス＞
＜ビジネスアイデア立案システム開発・見積もり自動化システム開発＞",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
